Lesson 7 Exercise 1
Punctuation
'`': KH-FG
'^': KR-RT
'~': T*LD
'<': AEPBGT
'>': A*EPBGT
'=': KWA*LS
'|': PAO*EUP
'_': R*UPBD
'-': H-PB
'--': TK-RB
',': KW-BG
';': SKWR*RBGS or STPH*FPLT
':': STPH-FPLT
':': KHR-PB
'!': SKHRAPL
'?': H-F
'/': OEU
'.': TP-PL
'.': P-P
'...': SKWR-RBGS
''': A*E
''': AE
'"': KW-GS
'"': KR-GS
'(': PREPB
')': PR*EPB
'[': PWR-BGT
']': PWR*BGT
'{': TPR-BGT
'}': TPR*BGT
'@': KWRAT
'$': TK-PL
'*': STA*R
'\': SPWHRAERB
'&': SP-PBD
'#': HAERB
'%': PERS
'+': PHR*US
